# Adapted from ids-cdp.txt at https://github.com/cjkvi/cjkvi-ids (commit 86b4d16)
# Copyright (c) 2014-2018 CJKVI Database
# Based on CHISE IDS Database
U+6589	斉	^⿱文&CDP-89C6;$
U+65B5	斵	^⿰⿱&CDP-8C69;亞斤$
U+65B9	方	^⿱亠&CDP-8B6C;$
U+65BE	斾	^⿰方&CDP-8DB3;$
U+65BF	斿	^⿰方&CDP-8C55;$
U+65C1	旁	^⿱&CDP-8BEC;方$
U+65C5	旅	^⿰方&CDP-8D55;$
U+65CF	族	^⿰方&CDP-8CDB;$
U+65D7	旗	^⿰方&CDP-8CFC;$
U+65E2	既	^⿰&CDP-8B7C;旡$
U+6649	晉	^⿱&CDP-8DAB;日$
U+665D	晝	^⿱&CDP-8BC6;旦$
U+66B5	暵	^⿰日&CDP-8BD3;$
U+66F4	更	^⿱一&CDP-89E7;$
U+66F8	書	^⿱&CDP-8BC6;日$
U+66F9	曹	^⿱&CDP-8D61;日$
U+6717	朗	^⿰&CDP-8C42;月$
U+671B	望	^⿱&CDP-8C47;𡈼$
U+67AD	枭	^⿹&CDP-8964;木$
U+67BE	枾	^⿰木&CDP-89E4;$
U+6806	栆	^⿱&CDP-89AD;⺀$
U+687C	桼	^⿱木&CDP-8D71;$
U+6881	梁	^⿱&CDP-8DBC;木$	^⿱&CDP-8DBC;朩$
U+689D	條	^⿰&CDP-8B7A;条$	^⿰&CDP-8B7A;&CDP-8BFB;$
U+689F	梟	^⿹&CDP-8CBB;木$
U+68C4	棄	^⿱𠫓&CDP-8DA8;$
U+6955	楕	^⿰木&CDP-8CA9;$
U+697D	楽	^⿱⿴&CDP-89AE;白木$	^⿱⿴&CDP-89AE;白朩$
U+6996	榖	^⿰⿱&CDP-8D44;木殳$
U+69A6	榦	^⿰𠦝&CDP-8CC0;$
U+6A02	樂	^⿱&CDP-8BF4;木$	^⿱&CDP-8BF4;朩$
U+6A46	橆	^⿱&CDP-8BBE;林$
U+6A50	橐	^⿳&CDP-8DDD;冖䂞$
U+6ADC	櫜	^⿱⿳&CDP-8DDD;冖咎木$	^⿱⿳&CDP-8DDD;冖咎朩$
